DEBUG--->2021-08-11 19:40:16,533--->执行用例中。。。。。。
DEBUG--->2021-08-11 19:40:22,224--->开始执行登录用例
DEBUG--->2021-08-11 19:40:22,224--->开始执行登录用例
DEBUG--->2021-08-11 19:40:22,292--->开始执行搜索用例
DEBUG--->2021-08-11 19:40:22,292--->开始执行搜索用例
DEBUG--->2021-08-11 19:40:36,469--->发送邮件
DEBUG--->2021-08-11 19:40:36,469--->发送邮件
DEBUG--->2021-08-11 19:40:37,525--->关闭文件
DEBUG--->2021-08-11 19:40:37,525--->关闭文件
DEBUG--->2021-08-11 19:40:37,525--->执行结束
DEBUG--->2021-08-11 19:40:37,525--->执行结束
DEBUG--->2021-08-11 20:56:30,260--->开始执行
DEBUG--->2021-08-11 20:56:30,265--->执行用例中。。。。。。
DEBUG--->2021-08-11 20:56:38,058--->开始执行登录用例
DEBUG--->2021-08-11 20:56:38,058--->开始执行登录用例
DEBUG--->2021-08-11 20:56:40,327--->开始执行搜索用例
DEBUG--->2021-08-11 20:56:40,327--->开始执行搜索用例
DEBUG--->2021-08-11 20:56:44,223--->发送邮件
DEBUG--->2021-08-11 20:56:44,223--->发送邮件
DEBUG--->2021-08-11 20:56:45,615--->关闭文件
DEBUG--->2021-08-11 20:56:45,615--->关闭文件
DEBUG--->2021-08-11 20:56:45,617--->执行结束
DEBUG--->2021-08-11 20:56:45,617--->执行结束
DEBUG--->2021-08-11 20:58:44,574--->开始执行
DEBUG--->2021-08-11 20:58:44,575--->执行用例中。。。。。。
DEBUG--->2021-08-11 20:58:53,104--->开始执行登录用例
DEBUG--->2021-08-11 20:58:53,104--->开始执行登录用例
DEBUG--->2021-08-11 20:58:55,365--->开始执行搜索用例
DEBUG--->2021-08-11 20:58:55,365--->开始执行搜索用例
DEBUG--->2021-08-11 20:59:00,137--->发送邮件
DEBUG--->2021-08-11 20:59:00,137--->发送邮件
DEBUG--->2021-08-11 20:59:01,242--->关闭文件
DEBUG--->2021-08-11 20:59:01,242--->关闭文件
DEBUG--->2021-08-11 20:59:01,243--->执行结束
DEBUG--->2021-08-11 20:59:01,243--->执行结束
DEBUG--->2021-08-11 21:00:11,057--->开始执行
DEBUG--->2021-08-11 21:00:11,058--->执行用例中。。。。。。
DEBUG--->2021-08-11 21:00:15,496--->开始执行登录用例
DEBUG--->2021-08-11 21:00:15,496--->开始执行登录用例
DEBUG--->2021-08-11 21:00:36,179--->开始执行搜索用例
DEBUG--->2021-08-11 21:00:36,179--->开始执行搜索用例
DEBUG--->2021-08-11 21:00:50,505--->发送邮件
DEBUG--->2021-08-11 21:00:50,505--->发送邮件
DEBUG--->2021-08-11 21:00:51,634--->关闭文件
DEBUG--->2021-08-11 21:00:51,634--->关闭文件
DEBUG--->2021-08-11 21:00:51,635--->执行结束
DEBUG--->2021-08-11 21:00:51,635--->执行结束
DEBUG--->2021-08-16 19:25:33,511--->开始执行
DEBUG--->2021-08-16 19:25:33,516--->执行用例中。。。。。。
DEBUG--->2021-08-16 19:25:37,088--->开始执行登录用例
DEBUG--->2021-08-16 19:25:37,088--->开始执行登录用例
DEBUG--->2021-08-16 19:25:47,592--->开始执行搜索用例
DEBUG--->2021-08-16 19:25:47,592--->开始执行搜索用例
DEBUG--->2021-08-16 19:26:00,260--->发送邮件
DEBUG--->2021-08-16 19:26:00,260--->发送邮件
DEBUG--->2021-08-16 19:26:01,704--->关闭文件
DEBUG--->2021-08-16 19:26:01,704--->关闭文件
DEBUG--->2021-08-16 19:26:01,704--->执行结束
DEBUG--->2021-08-16 19:26:01,704--->执行结束
DEBUG--->2021-08-16 19:26:03,940--->开始执行
DEBUG--->2021-08-16 19:26:03,941--->执行用例中。。。。。。
DEBUG--->2021-08-16 19:26:15,336--->开始执行登录用例
DEBUG--->2021-08-16 19:26:15,336--->开始执行登录用例
DEBUG--->2021-08-16 19:26:17,125--->开始执行搜索用例
DEBUG--->2021-08-16 19:26:17,125--->开始执行搜索用例
DEBUG--->2021-08-16 19:26:21,166--->发送邮件
DEBUG--->2021-08-16 19:26:21,166--->发送邮件
DEBUG--->2021-08-16 19:26:22,256--->关闭文件
DEBUG--->2021-08-16 19:26:22,256--->关闭文件
DEBUG--->2021-08-16 19:26:22,256--->执行结束
DEBUG--->2021-08-16 19:26:22,256--->执行结束
DEBUG--->2021-08-16 21:08:58,452--->开始执行
DEBUG--->2021-08-16 21:08:58,466--->执行用例中。。。。。。
DEBUG--->2021-08-16 21:09:07,129--->开始执行登录用例
DEBUG--->2021-08-16 21:09:07,129--->开始执行登录用例
DEBUG--->2021-08-16 21:09:09,601--->开始执行搜索用例
DEBUG--->2021-08-16 21:09:09,601--->开始执行搜索用例
DEBUG--->2021-08-16 21:09:13,808--->发送邮件
DEBUG--->2021-08-16 21:09:13,808--->发送邮件
DEBUG--->2021-08-16 21:09:14,951--->关闭文件
DEBUG--->2021-08-16 21:09:14,951--->关闭文件
DEBUG--->2021-08-16 21:09:14,952--->执行结束
DEBUG--->2021-08-16 21:09:14,952--->执行结束
DEBUG--->2021-08-22 20:14:35,247--->开始执行
DEBUG--->2021-08-22 20:14:35,253--->执行用例中。。。。。。
DEBUG--->2021-08-22 20:14:41,972--->开始执行登录用例
DEBUG--->2021-08-22 20:14:41,972--->开始执行登录用例
DEBUG--->2021-08-22 20:14:43,558--->开始执行搜索用例
DEBUG--->2021-08-22 20:14:43,558--->开始执行搜索用例
DEBUG--->2021-08-22 20:14:47,092--->发送邮件
DEBUG--->2021-08-22 20:14:47,092--->发送邮件
DEBUG--->2021-08-22 20:14:48,211--->关闭文件
